0.0,0.0
1.0,0.0
2.0,0.0
3.0,1.0
4.0,1.0
5.0,2.0
6.0,2.0
7.0,3.0
8.0,4.0
9.0,5.0
10.0,5.0
11.0,6.0
12.0,8.0
13.0,9.0
14.0,10.0
15.0,12.0
16.0,13.0
17.0,15.0
18.0,17.0
19.0,20.0
20.0,22.0
21.0,24.0
22.0,27.0
23.0,29.0
24.0,32.0
25.0,35.0
26.0,38.0
27.0,40.0
28.0,42.0
29.0,45.0
30.0,47.7
31.0,50.0
32.0,53.0
33.0,56.0
34.0,58.0
35.0,61.0
36.0,63.0
37.0,66.0
38.0,68.0
39.0,70.0
40.0,72.0
41.0,74.0
42.0,76.0
43.0,77.0
44.0,79.0
45.0,81.0
46.0,82.0
47.0,83.0
48.0,84.0
49.0,85.0
50.0,86.0
51.0,87.0
52.0,88.0
53.0,89.0
54.0,90.0
55.0,91.0
56.0,91.0
57.0,92.0
58.0,92.0
59.0,93.0
60.0,93.0
61.0,94.0
62.0,94.0
63.0,95.0
64.0,95.0
65.0,95.0
66.0,96.0
67.0,96.0
68.0,96.0
69.0,96.0
70.0,97.0
71.0,97.0
72.0,97.0
73.0,97.0
74.0,98.0
75.0,98.0
76.0,98.0
77.0,98.0
78.0,98.0
79.0,98.0
80.0,98.0
81.0,98.0
82.0,99.0
83.0,99.0
84.0,99.0
85.0,99.0
86.0,99.0
87.0,99.0
88.0,99.0
89.0,99.0
90.0,99.0
91.0,99.0
92.0,99.0
93.0,99.0
94.0,99.0
95.0,99.0
96.0,99.0
97.0,99.0
98.0,99.0
99.0,99.0
